"V1","NAPS","Population","PopSize","Latitude","Longitude"
123,"Lamont, AB, NAPS: 92201",1347,"small",53.76036,-112.88017
124,"Breton, AB, NAPS: 92601",574,"rural",53.0903,-114.46061
125,"Edson, AB, NAPS: 92901",8148,"small",53.593771,-116.395822
126,"Genesee, AB, NAPS: 93101",0,"rural",53.3016,-114.2211
127,"Hinton, AB, NAPS: 93202",9205,"small",53.427301,-117.544067
128,"Cold Lake, AB, NAPS: 94301",6678,"small",54.41401389,-110.2329389
129,"St Lina, AB, NAPS: 94401",0,"rural",54.2165,-111.5026
130,"Anzac, AB, NAPS: 94601",548,"rural",56.44928,-111.03722
131,"New Westminster, BC, NAPS: 100103",70996,"medium",49.227045,-122.894487
132,"Burnaby, BC, NAPS: 100110",249197,"large",49.279214,-122.970707
133,"Port Moody, BC, NAPS: 100111",33551,"medium",49.280893,-122.849291
134,"Vancouver, BC, NAPS: 100112",2264823,"large",49.282272,-123.12188
135,"Burnaby, BC, NAPS: 100119",249197,"large",49.21519,-122.985666
136,"North Vancouver, BC, NAPS: 100121",85395,"medium",49.301472,-123.020417
137,"Delta, BC, NAPS: 100125",110848,"large",49.158348,-122.90173
138,"Burnaby, BC, NAPS: 100126",249197,"large",49.279809,-122.922267
139,"Surrey, BC, NAPS: 100127",518467,"large",49.132928,-122.694224
140,"Richmond, BC, NAPS: 100128",4055,"small",49.141437,-123.108215
141,"North Vancouver, BC, NAPS: 100132",85395,"medium",49.323994,-123.083496
142,"Richmond, BC, NAPS: 100134",4055,"small",49.186265,-123.152422
143,"Coquitlam, BC, NAPS: 100135",140028,"large",49.288265,-122.79157
144,"Delta, BC, NAPS: 100140",110848,"large",49.009877,-123.081997
145,"Vancouver, BC, NAPS: 100141",2264823,"large",49.260267,-123.077776
146,"Agassiz, BC, NAPS: 100143",6704,"small",49.238008,-121.762264
147,"Prince George, BC, NAPS: 100202",65510,"medium",53.91472,-122.74194
148,"Victoria, BC, NAPS: 100304",335696,"large",48.441942,-123.363165
149,"Victoria, BC, NAPS: 100308",335696,"large",48.42369,-123.49432
150,"Kamloops, BC, NAPS: 100401",78026,"medium",50.67477,-120.334016
151,"Kelowna, BC, NAPS: 100701",151957,"large",49.862336,-119.477367
152,"Abbotsford, BC, NAPS: 101003",121279,"large",49.04258,-122.30982
153,"Abbotsford, BC, NAPS: 101005",121279,"large",49.021554,-122.326523
154,"Chilliwack, BC, NAPS: 101101",73161,"medium",49.155848,-121.940279
155,"Pitt Meadows, BC, NAPS: 101202",18573,"small",49.245233,-122.70889
156,"Langley, BC, NAPS: 101301",25888,"small",49.09561,-122.567104
157,"Hope, BC, NAPS: 101401",4067,"small",49.369887,-121.49912
158,"Maple Ridge, BC, NAPS: 101501",82256,"medium",49.21494,-122.582057
159,"Squamish, BC, NAPS: 101603",17587,"small",49.70516,-123.15133
160,"Quesnel, BC, NAPS: 101701",12064,"small",52.981686,-122.493227
161,"Nanaimo, BC, NAPS: 102102",92004,"medium",49.20083,-123.99389
162,"Smithers, BC, NAPS: 102401",5351,"small",54.783308,-127.177324
163,"Terrace, BC, NAPS: 102503",13663,"small",54.52167,-128.6075
164,"Williams Lake, BC, NAPS: 102701",10508,"small",52.14428,-122.150391
165,"Castlegar, BC, NAPS: 103502",9023,"small",49.317698,-117.661527
166,"Mission, BC, NAPS: 103602",33261,"medium",49.14149,-122.311078
167,"Vernon, BC, NAPS: 104003",48073,"medium",50.260617,-119.270723
168,"Taylor, BC, NAPS: 104301",1373,"small",56.150186,-120.686985
169,"Duncan, BC, NAPS: 104803",23278,"small",48.784854,-123.715846
170,"Duncan, BC, NAPS: 104804",23278,"small",48.786114,-123.717307
171,"Whistler, BC, NAPS: 105001",8713,"small",50.144285,-122.960402
172,"Fort St John, BC, NAPS: 105504",20155,"small",56.24473,-120.8561
173,"Courtenay, BC, NAPS: 107100",45018,"medium",49.682603,-124.996222
174,"Whitehorse, YT, NAPS: 119004",21732,"small",60.71972,-135.05875
175,"Yellowknife, NT, NAPS: 129003",18884,"small",62.45207,-114.364
176,"Norman Wells, NT, NAPS: 129102",778,"rural",65.27926,-126.813057
177,"Inuvik, NT, NAPS: 129203",3140,"small",68.35702037,-133.7140565
178,"Iqaluit, NU, NAPS: 129303",7082,"small",63.751619,-68.522433
179,"Fort Smith, NT, NAPS: 129601",2031,"small",60.00455,-111.893241
